udio,musicgen,YuE,real,suno
0.033276937901973724,0.34822505712509155,0.9689555764198303,0.043540142476558685,0.9768359661102295
0.09451019763946533,0.12488245218992233,0.9534273743629456,0.062203243374824524,0.9895005822181702
0.4629221260547638,0.8358829021453857,0.8845577836036682,0.10422252118587494,0.9633828401565552
0.9572734236717224,0.1290968954563141,0.9256519675254822,0.07940538972616196,0.9794727563858032
0.8843229413032532,0.9009285569190979,0.7839128971099854,0.06851177662611008,0.9631209373474121
0.21867287158966064,0.06630925834178925,0.7425679564476013,0.279594361782074,0.9878467917442322
0.05427650362253189,0.27302294969558716,0.8431784510612488,0.11712779104709625,0.9655723571777344
0.6431238651275635,0.09250420331954956,0.30838146805763245,0.08660339564085007,0.9830992817878723
0.9529345035552979,0.5658828020095825,0.2270076423883438,0.036566752940416336,0.9740028977394104
0.07208804041147232,0.5913305282592773,0.38478484749794006,0.041538551449775696,0.9805902242660522
0.9736155271530151,0.07484282553195953,0.31038326025009155,0.031263381242752075,0.9210093021392822
0.9617985486984253,0.06199555844068527,0.43302273750305176,0.03481841832399368,0.9711423516273499
0.086152583360672,0.9057623744010925,0.6312122941017151,0.08650468289852142,0.9911593794822693
0.9574225544929504,0.23348942399024963,0.40065866708755493,0.07120449095964432,0.9900673627853394
0.0461011677980423,0.7252228260040283,0.7206284403800964,0.05493716523051262,0.9862339496612549
0.05728733912110329,0.2034439593553543,0.14445465803146362,0.021048573777079582,0.9892994165420532
0.05147948116064072,0.36802852153778076,0.9653700590133667,0.12412923574447632,0.9881473183631897
0.8060680031776428,0.14418208599090576,0.6821234226226807,0.029511477798223495,0.9722791910171509
0.9404427409172058,0.3126385509967804,0.9313297271728516,0.03240490332245827,0.9847641587257385
0.9625284671783447,0.8846357464790344,0.9301663041114807,0.029227351769804955,0.9129185676574707
,,0.27219823002815247,0.06356891244649887,
,,0.2282378226518631,0.04461514577269554,
,,0.2017286866903305,,
