udio,musicgen,YuE,real,suno
0.030099743977189064,0.2821633219718933,0.9727919697761536,0.05249721556901932,0.9709082245826721
0.07678795605897903,0.14608141779899597,0.9619977474212646,0.055531106889247894,0.9898732900619507
0.510334312915802,0.8408981561660767,0.9561058878898621,0.09590031206607819,0.9491683840751648
0.9575681090354919,0.12328214198350906,0.9349590539932251,0.0693313255906105,0.9753280282020569
0.9052244424819946,0.8993051648139954,0.8423072695732117,0.06886965036392212,0.9651830792427063
0.18973299860954285,0.05069626495242119,0.9192318320274353,0.271414190530777,0.987949013710022
0.06435178965330124,0.20155587792396545,0.8111742734909058,0.09061900526285172,0.9686088562011719
0.8140204548835754,0.08015893399715424,0.46980684995651245,0.08919677138328552,0.98019939661026
0.9506160616874695,0.5338598489761353,0.24094361066818237,0.03439291566610336,0.9752708673477173
0.06794579327106476,0.6220868229866028,0.6626118421554565,0.036206625401973724,0.9764070510864258
0.975315511226654,0.06557396054267883,0.5164809226989746,0.028339417651295662,0.9071400761604309
0.9645910859107971,0.05320516601204872,0.6669726967811584,0.03234553337097168,0.968733012676239
0.09278745204210281,0.8976770639419556,0.9599542021751404,0.07010060548782349,0.9923506379127502
0.9575252532958984,0.1827813684940338,0.8224568963050842,0.07276445627212524,0.9897929430007935
0.04966026544570923,0.7072758078575134,0.9578672647476196,0.05012441426515579,0.9860334992408752
0.06036444380879402,0.18859657645225525,0.19196568429470062,0.02353357896208763,0.9891005158424377
0.0632537454366684,0.40332362055778503,0.9613626003265381,0.1298723965883255,0.9895448088645935
0.8769922256469727,0.09968620538711548,0.867705762386322,0.03406722471117973,0.9717682003974915
0.9469509124755859,0.21645325422286987,0.954805850982666,0.03626774996519089,0.9861251711845398
0.9629223942756653,0.9253742098808289,0.9491836428642273,0.02920372784137726,0.8340346813201904
,,0.41189876198768616,0.057320427149534225,
,,0.5951636433601379,0.033369917422533035,
,,0.27319157123565674,,
