udio,musicgen,YuE,real,suno
0.04332520440220833,0.18076378107070923,0.14043155312538147,0.052753858268260956,0.06277519464492798
0.049737490713596344,0.07425802946090698,0.4331294596195221,0.08229561895132065,0.26660245656967163
0.3587185740470886,0.6274131536483765,0.3619937598705292,0.04760926961898804,0.047204066067934036
0.8217737674713135,0.12081443518400192,0.27975475788116455,0.09201271831989288,0.1270965188741684
0.5028213262557983,0.5529637336730957,0.08962272107601166,0.04400130361318588,0.0613120011985302
0.04631779342889786,0.05927209556102753,0.15762077271938324,0.05654795840382576,0.1836749166250229
0.04547782242298126,0.1531570851802826,0.3262934982776642,0.21298295259475708,0.2137659788131714
0.32660412788391113,0.10143084079027176,0.1602577567100525,0.18016594648361206,0.12656597793102264
0.7959446310997009,0.26314353942871094,0.10246198624372482,0.05002037063241005,0.06884071230888367
0.04287504404783249,0.3131708800792694,0.0837935283780098,0.09665698558092117,0.545384407043457
0.8661300539970398,0.05802679434418678,0.0676698386669159,0.11118514835834503,0.05375368893146515
0.7768275737762451,0.21957066655158997,0.12282555550336838,0.1869988739490509,0.084797203540802
0.04973578453063965,0.5334275364875793,0.09483003616333008,0.34051409363746643,0.6262421607971191
0.7925485372543335,0.14255720376968384,0.21716634929180145,0.07090600579977036,0.364704430103302
0.29916924238204956,0.4314279854297638,0.17524592578411102,0.04156507924199104,0.8165968060493469
0.05496314540505409,0.08454564213752747,0.06352443248033524,0.060739170759916306,0.1015358418226242
0.07449699938297272,0.23869110643863678,0.7239161729812622,0.07403559982776642,0.8880454897880554
0.1002708375453949,0.08739981800317764,0.3287547826766968,0.07019991427659988,0.06354023516178131
0.7424503564834595,0.15597839653491974,0.44715288281440735,0.07497575879096985,0.28150609135627747
0.8354092836380005,0.6397449970245361,0.5236628651618958,0.05414731055498123,0.11569706350564957
,,0.07292862236499786,0.044205669313669205,
,,0.06869969516992569,0.1935575008392334,
,,0.09602449834346771,,
