udio,musicgen,YuE,real,suno
0.029449857771396637,0.09827247262001038,0.8892549872398376,0.06545116007328033,0.10399742424488068
0.041646432131528854,0.6551814675331116,0.8048396706581116,0.06184617802500725,0.2008143961429596
0.09316428750753403,0.7157241702079773,0.7859452366828918,0.09479101747274399,0.11912918090820312
0.07941466569900513,0.04703215882182121,0.13299643993377686,0.11645711213350296,0.2529750466346741
0.03570045158267021,0.15935969352722168,0.5751158595085144,0.06354251503944397,0.1662062555551529
0.06624531745910645,0.5748650431632996,0.3114909529685974,0.7378321290016174,0.12081174552440643
0.042292073369026184,0.4711027443408966,0.1769302636384964,0.07708166539669037,0.16654731333255768
0.042993735522031784,0.8252241611480713,0.17268939316272736,0.05490332096815109,0.24847036600112915
0.08355569839477539,0.5309171080589294,0.21097013354301453,0.06881847977638245,0.1077369749546051
0.07937522232532501,0.2707076370716095,0.3258015215396881,0.061570778489112854,0.13988864421844482
,0.7076424360275269,0.33830320835113525,,0.094038225710392
,,0.5322006344795227,,0.12433677166700363
,,0.16031494736671448,,
,,0.558600664138794,,
,,0.4534054398536682,,
,,0.639450192451477,,
,,0.7325789928436279,,
,,0.24834208190441132,,
,,0.21736451983451843,,
