udio,musicgen,YuE,real,suno
0.04652358964085579,0.04477476328611374,0.9636699557304382,0.0755176842212677,0.9667426943778992
0.3270304501056671,0.6323546171188354,0.9194095134735107,0.05432858318090439,0.9370760321617126
0.20648454129695892,0.897452712059021,0.8564150929450989,0.0641537755727768,0.9645995497703552
0.06013159826397896,0.07691796123981476,0.23550841212272644,0.1932762861251831,0.9710899591445923
0.07562442868947983,0.10220932215452194,0.3800048828125,0.12926550209522247,0.946707546710968
0.10027940571308136,0.31823253631591797,0.9222742319107056,0.10088947415351868,0.9737431406974792
0.04775286093354225,0.29349637031555176,0.9322237372398376,0.05167693272233009,0.9778904318809509
0.05083238333463669,0.8068806529045105,0.3162936568260193,0.028154592961072922,0.9813098907470703
0.09195879846811295,0.41531628370285034,0.19210845232009888,0.1311056911945343,0.8139994740486145
0.22832854092121124,0.15228943526744843,0.33255839347839355,0.08723495155572891,0.9419147372245789
,0.4525342881679535,0.28931644558906555,,0.9545571208000183
,,0.6225195527076721,,0.8629963994026184
,,0.07262721657752991,,
,,0.909351646900177,,
,,0.43042194843292236,,
,,0.9607205390930176,,
,,0.2695162296295166,,
,,0.2156740128993988,,
,,0.27802157402038574,,
